"","Day","Time","TrafficControl","Road","Light","Weather","Weight","Count"
"257","Weekday","Night","Unknown","Wet","Unknown","Clear",5,2
"258","Weekend","Night","Unknown","Wet","Unknown","Clear",2,1
"259","Weekday","Morning","Unknown","Wet","Unknown","Clear",5,1
"260","Weekend","Morning","Unknown","Wet","Unknown","Clear",2,0
"261","Weekday","Midday","Unknown","Wet","Unknown","Clear",5,1
"262","Weekend","Midday","Unknown","Wet","Unknown","Clear",2,0
"263","Weekday","Evening","Unknown","Wet","Unknown","Clear",5,2
"264","Weekend","Evening","Unknown","Wet","Unknown","Clear",2,0
"265","Weekday","Night","No Control","Other","Unknown","Clear",5,18
"266","Weekend","Night","No Control","Other","Unknown","Clear",2,15
"267","Weekday","Morning","No Control","Other","Unknown","Clear",5,20
"268","Weekend","Morning","No Control","Other","Unknown","Clear",2,6
"269","Weekday","Midday","No Control","Other","Unknown","Clear",5,15
"270","Weekend","Midday","No Control","Other","Unknown","Clear",2,10
"271","Weekday","Evening","No Control","Other","Unknown","Clear",5,25
"272","Weekend","Evening","No Control","Other","Unknown","Clear",2,11
"273","Weekday","Night","Control","Other","Unknown","Clear",5,1
"274","Weekend","Night","Control","Other","Unknown","Clear",2,4
"275","Weekday","Morning","Control","Other","Unknown","Clear",5,4
"276","Weekend","Morning","Control","Other","Unknown","Clear",2,1
"277","Weekday","Midday","Control","Other","Unknown","Clear",5,4
"278","Weekend","Midday","Control","Other","Unknown","Clear",2,0
"279","Weekday","Evening","Control","Other","Unknown","Clear",5,4
"280","Weekend","Evening","Control","Other","Unknown","Clear",2,4
"281","Weekday","Night","Unknown","Other","Unknown","Clear",5,9
"282","Weekend","Night","Unknown","Other","Unknown","Clear",2,0
"283","Weekday","Morning","Unknown","Other","Unknown","Clear",5,2
"284","Weekend","Morning","Unknown","Other","Unknown","Clear",2,1
"285","Weekday","Midday","Unknown","Other","Unknown","Clear",5,3
"286","Weekend","Midday","Unknown","Other","Unknown","Clear",2,1
"287","Weekday","Evening","Unknown","Other","Unknown","Clear",5,5
"288","Weekend","Evening","Unknown","Other","Unknown","Clear",2,1
"289","Weekday","Night","No Control","Dry","Daylight","Rain/Snow",5,1
"290","Weekend","Night","No Control","Dry","Daylight","Rain/Snow",2,3
"291","Weekday","Morning","No Control","Dry","Daylight","Rain/Snow",5,48
"292","Weekend","Morning","No Control","Dry","Daylight","Rain/Snow",2,4
"293","Weekday","Midday","No Control","Dry","Daylight","Rain/Snow",5,53
"294","Weekend","Midday","No Control","Dry","Daylight","Rain/Snow",2,15
"295","Weekday","Evening","No Control","Dry","Daylight","Rain/Snow",5,26
"296","Weekend","Evening","No Control","Dry","Daylight","Rain/Snow",2,5
"297","Weekday","Night","Control","Dry","Daylight","Rain/Snow",5,3
"298","Weekend","Night","Control","Dry","Daylight","Rain/Snow",2,1
"299","Weekday","Morning","Control","Dry","Daylight","Rain/Snow",5,37
"300","Weekend","Morning","Control","Dry","Daylight","Rain/Snow",2,4
"301","Weekday","Midday","Control","Dry","Daylight","Rain/Snow",5,47
"302","Weekend","Midday","Control","Dry","Daylight","Rain/Snow",2,15
"303","Weekday","Evening","Control","Dry","Daylight","Rain/Snow",5,21
"304","Weekend","Evening","Control","Dry","Daylight","Rain/Snow",2,6
"305","Weekday","Night","Unknown","Dry","Daylight","Rain/Snow",5,0
"306","Weekend","Night","Unknown","Dry","Daylight","Rain/Snow",2,0
"307","Weekday","Morning","Unknown","Dry","Daylight","Rain/Snow",5,0
"308","Weekend","Morning","Unknown","Dry","Daylight","Rain/Snow",2,0
"309","Weekday","Midday","Unknown","Dry","Daylight","Rain/Snow",5,1
"310","Weekend","Midday","Unknown","Dry","Daylight","Rain/Snow",2,0
"311","Weekday","Evening","Unknown","Dry","Daylight","Rain/Snow",5,1
"312","Weekend","Evening","Unknown","Dry","Daylight","Rain/Snow",2,0
"313","Weekday","Night","No Control","Wet","Daylight","Rain/Snow",5,61
"314","Weekend","Night","No Control","Wet","Daylight","Rain/Snow",2,39
"315","Weekday","Morning","No Control","Wet","Daylight","Rain/Snow",5,938
"316","Weekend","Morning","No Control","Wet","Daylight","Rain/Snow",2,160
"317","Weekday","Midday","No Control","Wet","Daylight","Rain/Snow",5,835
"318","Weekend","Midday","No Control","Wet","Daylight","Rain/Snow",2,323
"319","Weekday","Evening","No Control","Wet","Daylight","Rain/Snow",5,339
"320","Weekend","Evening","No Control","Wet","Daylight","Rain/Snow",2,108
"321","Weekday","Night","Control","Wet","Daylight","Rain/Snow",5,44
"322","Weekend","Night","Control","Wet","Daylight","Rain/Snow",2,11
"323","Weekday","Morning","Control","Wet","Daylight","Rain/Snow",5,1185
"324","Weekend","Morning","Control","Wet","Daylight","Rain/Snow",2,187
"325","Weekday","Midday","Control","Wet","Daylight","Rain/Snow",5,861
"326","Weekend","Midday","Control","Wet","Daylight","Rain/Snow",2,330
"327","Weekday","Evening","Control","Wet","Daylight","Rain/Snow",5,345
"328","Weekend","Evening","Control","Wet","Daylight","Rain/Snow",2,121
"329","Weekday","Night","Unknown","Wet","Daylight","Rain/Snow",5,2
"330","Weekend","Night","Unknown","Wet","Daylight","Rain/Snow",2,2
"331","Weekday","Morning","Unknown","Wet","Daylight","Rain/Snow",5,26
"332","Weekend","Morning","Unknown","Wet","Daylight","Rain/Snow",2,7
"333","Weekday","Midday","Unknown","Wet","Daylight","Rain/Snow",5,25
"334","Weekend","Midday","Unknown","Wet","Daylight","Rain/Snow",2,18
"335","Weekday","Evening","Unknown","Wet","Daylight","Rain/Snow",5,13
"336","Weekend","Evening","Unknown","Wet","Daylight","Rain/Snow",2,7
"337","Weekday","Night","No Control","Other","Daylight","Rain/Snow",5,2
"338","Weekend","Night","No Control","Other","Daylight","Rain/Snow",2,0
"339","Weekday","Morning","No Control","Other","Daylight","Rain/Snow",5,15
"340","Weekend","Morning","No Control","Other","Daylight","Rain/Snow",2,0
"341","Weekday","Midday","No Control","Other","Daylight","Rain/Snow",5,18
"342","Weekend","Midday","No Control","Other","Daylight","Rain/Snow",2,7
"343","Weekday","Evening","No Control","Other","Daylight","Rain/Snow",5,12
"344","Weekend","Evening","No Control","Other","Daylight","Rain/Snow",2,0
"345","Weekday","Night","Control","Other","Daylight","Rain/Snow",5,0
"346","Weekend","Night","Control","Other","Daylight","Rain/Snow",2,0
"347","Weekday","Morning","Control","Other","Daylight","Rain/Snow",5,15
"348","Weekend","Morning","Control","Other","Daylight","Rain/Snow",2,2
"349","Weekday","Midday","Control","Other","Daylight","Rain/Snow",5,15
"350","Weekend","Midday","Control","Other","Daylight","Rain/Snow",2,6
"351","Weekday","Evening","Control","Other","Daylight","Rain/Snow",5,5
"352","Weekend","Evening","Control","Other","Daylight","Rain/Snow",2,3
"353","Weekday","Night","Unknown","Other","Daylight","Rain/Snow",5,0
"354","Weekend","Night","Unknown","Other","Daylight","Rain/Snow",2,0
"355","Weekday","Morning","Unknown","Other","Daylight","Rain/Snow",5,0
"356","Weekend","Morning","Unknown","Other","Daylight","Rain/Snow",2,0
"357","Weekday","Midday","Unknown","Other","Daylight","Rain/Snow",5,4
"358","Weekend","Midday","Unknown","Other","Daylight","Rain/Snow",2,0
"359","Weekday","Evening","Unknown","Other","Daylight","Rain/Snow",5,3
"360","Weekend","Evening","Unknown","Other","Daylight","Rain/Snow",2,1
"361","Weekday","Night","No Control","Dry","Dawn/Dusk","Rain/Snow",5,3
"362","Weekend","Night","No Control","Dry","Dawn/Dusk","Rain/Snow",2,1
"363","Weekday","Morning","No Control","Dry","Dawn/Dusk","Rain/Snow",5,2
"364","Weekend","Morning","No Control","Dry","Dawn/Dusk","Rain/Snow",2,1
"365","Weekday","Midday","No Control","Dry","Dawn/Dusk","Rain/Snow",5,3
"366","Weekend","Midday","No Control","Dry","Dawn/Dusk","Rain/Snow",2,1
"367","Weekday","Evening","No Control","Dry","Dawn/Dusk","Rain/Snow",5,4
"368","Weekend","Evening","No Control","Dry","Dawn/Dusk","Rain/Snow",2,0
"369","Weekday","Night","Control","Dry","Dawn/Dusk","Rain/Snow",5,0
"370","Weekend","Night","Control","Dry","Dawn/Dusk","Rain/Snow",2,1
"371","Weekday","Morning","Control","Dry","Dawn/Dusk","Rain/Snow",5,3
"372","Weekend","Morning","Control","Dry","Dawn/Dusk","Rain/Snow",2,0
"373","Weekday","Midday","Control","Dry","Dawn/Dusk","Rain/Snow",5,1
"374","Weekend","Midday","Control","Dry","Dawn/Dusk","Rain/Snow",2,0
"375","Weekday","Evening","Control","Dry","Dawn/Dusk","Rain/Snow",5,6
"376","Weekend","Evening","Control","Dry","Dawn/Dusk","Rain/Snow",2,1
"377","Weekday","Night","Unknown","Dry","Dawn/Dusk","Rain/Snow",5,0
"378","Weekend","Night","Unknown","Dry","Dawn/Dusk","Rain/Snow",2,0
"379","Weekday","Morning","Unknown","Dry","Dawn/Dusk","Rain/Snow",5,0
"380","Weekend","Morning","Unknown","Dry","Dawn/Dusk","Rain/Snow",2,0
"381","Weekday","Midday","Unknown","Dry","Dawn/Dusk","Rain/Snow",5,0
"382","Weekend","Midday","Unknown","Dry","Dawn/Dusk","Rain/Snow",2,0
